 i,   x(i),   F(i)
         419   1.4944846748000002        2.5087417674799998E-003
         420   1.4980514640000002        2.5090984463999998E-003
         421   1.5016182532000002        2.5094551253199999E-003
         422   1.5051850424000002        2.5098118042399999E-003
         423   1.5087518316000001        2.5101684831600000E-003
         424   1.5123186208000001        2.5105251620800000E-003
         425   1.5158854100000001        2.5108818410000001E-003
         426   1.5194521992000001        2.5112385199200001E-003
         427   1.5230189884000003        2.5115951988399997E-003
         428   1.5265857776000002        2.5119518777599998E-003
         429   1.5301525668000002        2.5123085566799998E-003
         430   1.5337193560000002        2.5126652355999999E-003
         431   1.5372861452000002        2.5130219145199999E-003
         432   1.5408529344000002        2.5133785934400000E-003
         433   1.5444197236000001        2.5137352723600000E-003
         434   1.5479865128000001        2.5140919512800001E-003
         435   1.5515533020000001        2.5144486301999997E-003
         436   1.5551200912000003        2.5148053091199997E-003
         437   1.5586868804000003        2.5151619880399998E-003
         438   1.5622536696000002        2.5155186669599998E-003
         439   1.5658204588000002        2.5158753458799999E-003
         440   1.5693872480000002        2.5162320247999999E-003
         441   1.5729540372000002        2.5165887037200000E-003
         442   1.5765208264000001        2.5169453826400000E-003
         443   1.5800876156000001        2.5173020615600001E-003
         444   1.5836544048000001        2.5176587404800001E-003
         445   1.5872211940000003        2.5180154194000002E-003
         446   1.5907879832000003        2.5183720983199998E-003
         447   1.5943547724000002        2.5187287772399998E-003
         448   1.5979215616000002        2.5190854561599999E-003
         449   1.6014883508000002        2.5194421350799999E-003
         450   1.6050551400000002        2.5197988140000000E-003
         451   1.6086219292000001        2.5201554929200000E-003
         452   1.6121887184000001        2.5205121718400001E-003
         453   1.6157555076000001        2.5208688507600001E-003
         454   1.6193222968000003        2.5212255296799997E-003
         455   1.6228890860000003        2.5215822085999998E-003
         456   1.6264558752000002        2.5219388875199998E-003
         457   1.6300226644000002        2.5222955664399999E-003
         458   1.6335894536000002        2.5226522453599999E-003
         459   1.6371562428000002        2.5230089242800000E-003
         460   1.6407230320000001        2.5233656032000000E-003
         461   1.6442898212000001        2.5237222821200000E-003
         462   1.6478566104000001        2.5240789610400001E-003
         463   1.6514233996000003        2.5244356399600001E-003
         464   1.6549901888000003        2.5247923188799998E-003
         465   1.6585569780000002        2.5251489977999998E-003
         466   1.6621237672000002        2.5255056767199999E-003
         467   1.6656905564000002        2.5258623556399999E-003
         468   1.6692573456000002        2.5262190345599999E-003
         469   1.6728241348000001        2.5265757134800000E-003
         470   1.6763909240000001        2.5269323924000000E-003
         471   1.6799577132000001        2.5272890713200001E-003
         472   1.6835245024000003        2.5276457502399997E-003
         473   1.6870912916000003        2.5280024291599998E-003
         474   1.6906580808000002        2.5283591080799998E-003
         475   1.6942248700000002        2.5287157869999998E-003
         476   1.6977916592000002        2.5290724659199999E-003
         477   1.7013584484000002        2.5294291448399999E-003
         478   1.7049252376000001        2.5297858237600000E-003
         479   1.7084920268000001        2.5301425026800000E-003
         480   1.7120588160000001        2.5304991816000001E-003
         481   1.7156256052000003        2.5308558605200001E-003
         482   1.7191923944000003        2.5312125394399997E-003
         483   1.7227591836000002        2.5315692183599998E-003
         484   1.7263259728000002        2.5319258972799998E-003
         485   1.7298927620000002        2.5322825761999999E-003
         486   1.7334595512000002        2.5326392551199999E-003
         487   1.7370263404000001        2.5329959340400000E-003
         488   1.7405931296000001        2.5333526129600000E-003
         489   1.7441599188000001        2.5337092918800001E-003
         490   1.7477267080000003        2.5340659708000001E-003
         491   1.7512934972000003        2.5344226497199997E-003
